Date,ES1 Index (1.) 6M 100% Imp Vol,ES1 Index (2.) Hist Vol (180)
12/31/07,22.3371,17.63863005
12/28/07,21.4255,17.62800715
12/27/07,21.1407,17.66285239
12/26/07,19.2537,17.59337558
12/24/07,20.3041,17.60062632
12/21/07,19.8806,17.42815255
12/20/07,21.1642,17.40560644
12/19/07,22.4412,17.38659035
12/18/07,22.7862,17.3859738
12/17/07,23.7633,17.3725103
12/14/07,22.7205,17.28059525
12/13/07,22.2433,17.2402526
12/12/07,21.4306,17.23957626
12/11/07,17.6321,17.21214835
12/10/07,20.7508,16.88981073
12/7/07,20.5058,16.89414206
12/6/07,20.672,16.89947475
12/5/07,21.7994,16.82140644
12/4/07,23.1478,16.71074419
12/3/07,22.562,16.67965697
11/30/07,22.2284,16.76110573
11/29/07,22.7865,16.74468783
11/28/07,22.5722,16.82638581
11/27/07,24.704,16.43098771
11/26/07,26.0288,16.36702811
11/23/07,24.519,16.14782099
11/21/07,24.883,16.19542655
11/20/07,24.2588,16.017884
11/19/07,24.5942,16.00279643
11/16/07,23.9087,15.91660722
11/15/07,24.146,15.91744627
11/14/07,22.5894,15.95254957
11/13/07,22.1921,15.99289165
11/12/07,24.6948,15.6910282
11/9/07,24.4941,15.64497684
11/8/07,23.3502,15.59293915
11/7/07,22.5359,16.32878544
11/6/07,20.5589,15.96739182
11/5/07,20.4524,15.90138783
11/2/07,20.8168,15.87148444
11/1/07,20.5565,15.87159417
10/31/07,18.5064,15.56397322
10/30/07,19.9235,15.49748603
10/29/07,19.3057,15.47142432
10/26/07,18.8137,15.48445254
10/25/07,18.1739,15.4540407
10/24/07,19.0799,15.45950929
10/23/07,19.4924,15.48565721
10/22/07,20.1719,15.45898638
10/19/07,21.1344,15.44859669
10/18/07,17.6613,15.09661746
10/17/07,17.7951,15.0886196
10/16/07,19.0594,15.0853374
10/15/07,18.4126,15.06137926
10/12/07,16.9486,15.0331182
10/11/07,17.9646,15.03075767
10/10/07,16.938,15.01631565
10/9/07,16.5557,15.0149195
10/8/07,16.5726,15.05661287
10/5/07,16.7942,15.06525892
10/4/07,17.1783,15.00591489
10/3/07,17.0956,15.01541818
10/2/07,17.1655,15.01339543
10/1/07,16.7523,15.02083008
9/28/07,17.8078,14.95589943
9/27/07,15.3858,14.94710228
9/26/07,17.1405,14.95506248
9/25/07,17.6154,14.95432513
9/24/07,17.5639,14.95477166
9/21/07,17.0533,14.95532715
9/20/07,18.329,14.92695889
9/19/07,17.5436,14.93986907
9/18/07,18.6573,14.92696201
9/17/07,22.0328,14.53054224
9/14/07,19.2844,14.51477357
9/13/07,21.1141,14.52230509
9/12/07,21.5,14.508739
9/11/07,19.3917,14.5220383
9/10/07,21.8067,14.46890549
9/7/07,21.2788,14.48697109
9/6/07,20.6377,14.40172011
9/5/07,20.6683,14.40032452
9/4/07,19.3681,14.36003982
8/31/07,20.0334,14.33226923
8/30/07,20.97,14.28053365
8/29/07,20.3279,14.30980205
8/28/07,22.2549,14.13217345
8/27/07,19.5337,13.88491652
8/24/07,18.685,13.84130601
8/23/07,19.3423,13.77432043
8/22/07,19.0407,13.78327286
8/21/07,20.8687,13.70148926
8/20/07,21.2788,13.71018628
8/17/07,22.4663,13.73677246
8/16/07,23.2322,13.57301322